Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
name9age,personal_network_survey_for_clinical_research_als,,text,[name9],,,integer,0,150,,"[name_9] = ""1""",,,,,,
name10age,personal_network_survey_for_clinical_research_als,,text,[name10],,,integer,0,150,,"[name_10] = ""1""",,,,,,
name11age,personal_network_survey_for_clinical_research_als,,text,[name11],,,integer,0,150,,"[first] < 10 and [name_11] = ""1""",,,,,,
name12age,personal_network_survey_for_clinical_research_als,,text,[name12],,,integer,0,150,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,,,
name13age,personal_network_survey_for_clinical_research_als,,text,[name13],,,integer,0,150,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,,,
name14age,personal_network_survey_for_clinical_research_als,,text,[name14],,,integer,0,150,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,,,
name15age,personal_network_survey_for_clinical_research_als,,text,[name15],,,integer,0,150,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,,,
progress_75p,personal_network_survey_for_clinical_research_als,,descriptive,"<div class=""green"" style=""text-align:center;""><b>You're almost done with the survey - only a few more questions!</b></div>",,,,,,,[name1age] >='0',,,,,,
alcohol,personal_network_survey_for_clinical_research_als,,radio,,"1, Yes | 0, No | 9, I do not drink heavily",,,,,,,,,,,,
smoke,personal_network_survey_for_clinical_research_als,,radio,,"1, Yes | 0, No | 9, I do not smoke",,,,,,,,,,,,
exercise,personal_network_survey_for_clinical_research_als,,radio,,"1, Yes | 0, No",,,,,,,,,,,,
diet,personal_network_survey_for_clinical_research_als,,radio,,"1, Yes | 0, No",,,,,,,,,,,,
health,personal_network_survey_for_clinical_research_als,,checkbox,,"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems",,,,,,,,,,,,
name1alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name1],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name2alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name2],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name3alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name3],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name4alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name4],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name5alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name5],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name6alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name6],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name7alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name7],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name8alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name8],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name9alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name9],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name10alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name10],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name11alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name11],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name12alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name12],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name13alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name13],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name14alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name14],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name15alcohol,personal_network_survey_for_clinical_research_als,,checkbox,[name15],"1, Yes | 0, No | 9, Does not drink heavily | 99, Don't know",,,,,,,,,,,,
name1smoke,personal_network_survey_for_clinical_research_als,,radio,[name1],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name2smoke,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name3smoke,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name4smoke,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name5smoke,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name6smoke,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name7smoke,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name8smoke,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name9smoke,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name10smoke,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name11smoke,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name12smoke,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name13smoke,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name14smoke,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name15smoke,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Yes | 0, No | 9, Does not smoke | 99, Don't know",,,,,,,,,,,,
name1exer,personal_network_survey_for_clinical_research_als,,radio,[name1],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name2exer,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name3exer,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name4exer,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name5exer,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name6exer,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name7exer,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name8exer,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name9exer,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name10exer,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name11exer,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name12exer,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name13exer,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name14exer,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name15exer,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name1diet,personal_network_survey_for_clinical_research_als,,radio,[name1],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name2diet,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name3diet,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name4diet,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name5diet,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name6diet,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name7diet,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name8diet,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name9diet,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name10diet,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name11diet,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name12diet,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name13diet,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name14diet,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name15diet,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Yes | 0, No | 99, Don't know",,,,,,,,,,,,
name1health,personal_network_survey_for_clinical_research_als,Do the people in your network have ALS or another serious illness?,checkbox,[name1],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_1] = ""1""",,,,names_healthproblems,,
name2health,personal_network_survey_for_clinical_research_als,,checkbox,[name2],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_2] = ""1""",,,,names_healthproblems,,
name3health,personal_network_survey_for_clinical_research_als,,checkbox,[name3],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_3] = ""1""",,,,names_healthproblems,,
name4health,personal_network_survey_for_clinical_research_als,,checkbox,[name4],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_4] = ""1""",,,,names_healthproblems,,
name5health,personal_network_survey_for_clinical_research_als,,checkbox,[name5],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_5] = ""1""",,,,names_healthproblems,,
name6health,personal_network_survey_for_clinical_research_als,,checkbox,[name6],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_6] = ""1""",,,,names_healthproblems,,
name7health,personal_network_survey_for_clinical_research_als,,checkbox,[name7],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_7] = ""1""",,,,names_healthproblems,,
name8health,personal_network_survey_for_clinical_research_als,,checkbox,[name8],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_8] = ""1""",,,,names_healthproblems,,
name9health,personal_network_survey_for_clinical_research_als,,checkbox,[name9],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_9] = ""1""",,,,names_healthproblems,,
name10health,personal_network_survey_for_clinical_research_als,,checkbox,[name10],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[name_10] = ""1""",,,,names_healthproblems,,
name11health,personal_network_survey_for_clinical_research_als,,checkbox,[name11],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,names_healthproblems,,
name12health,personal_network_survey_for_clinical_research_als,,checkbox,[name12],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,names_healthproblems,,
name13health,personal_network_survey_for_clinical_research_als,,checkbox,[name13],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,names_healthproblems,,
name14health,personal_network_survey_for_clinical_research_als,,checkbox,[name14],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,names_healthproblems,,
name15health,personal_network_survey_for_clinical_research_als,,checkbox,[name15],"1, General Health | 2, Pain | 3, Cognitive/Mental Health | 4, Cardiac | 0, No Health Problems | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,names_healthproblems,,
name1dist,personal_network_survey_for_clinical_research_als,How far does each person live from you? ,radio,[name1],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_1] = ""1""",,,,distance,,
name2dist,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_2] = ""1""",,,,distance,,
name3dist,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_3] = ""1""",,,,distance,,
name4dist,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_4] = ""1""",,,,distance,,
name5dist,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_5] = ""1""",,,,distance,,
name6dist,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_6] = ""1""",,,,distance,,
name7dist,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_7] = ""1""",,,,distance,,
name8dist,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_8] = ""1""",,,,distance,,
name9dist,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_9] = ""1""",,,,distance,,
name10dist,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[name_10] = ""1""",,,,distance,,
name11dist,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"[first] < 10 and [name_11] = ""1""",,,,distance,,
name12dist,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,distance,,
name13dist,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,distance,,
name14dist,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,distance,,
name15dist,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Same house | 2, 1-5 miles | 3, 6-15 miles | 4, 16-50 miles | 5, 50+ miles",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,distance,,
